Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,Year-to-Date Expenditures,Department Total,PDF file,PDF page
55000 - Public Health and Welfare,FY06,55751,Recycling Center,101,County Official/Administrative Officer,"11,817.00",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,103,Assistant(s),"2,400.00",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,149,Laborers,"79,822.74",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,186,Longevity Pay,"2,000.00",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,189,Other Salaries & Wages,225.04,,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,201,Social Security,"7,193.11",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,207,Medical Insurance,"15,852.34",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,210,Unemployment Compensation,173.75,,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,302,Advertising,26.76,,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,307,Communication,"1,150.50",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,312,Contracts With Private Agencies,"68,093.67",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,338,Maintenance And Repair Services-Vehicle,"21,236.14",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,348,Postal Charges,37,,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,399,Other Contracted Services,"3,456.83",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,412,Diesel Fuel,"13,012.42",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,435,Office Supplies,45.62,,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,450,Tires And Tubes,"2,101.46",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,452,Utilities,"1,690.65",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,510,Trustee's Commission,"2,796.90",,fund116FY06.pdf,1
