Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,YTD Expenditure (Line Item),Department Total YTD,PDF File,PDF Page
71000 Instruction,FY05,71100,Regular Instruction Program,116,Teachers,"2,018,179.65",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,117,Career Ladder Program,"38,052.40",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,127,Career Ladder Extended Contracts,"11,000.00",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,163,Educational Assistants,"112,570.12",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,189,Other Salaries & Wages,"5,520.16",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,195,Certified Substitute Teachers,"33,025.00",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,201,Social Security,"131,950.05",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,204,State Retirement,"116,017.74",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,207,Medical Insurance,"321,023.26",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,210,Unemployment Compensation,"1,175.54",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,212,Employer Medicare,"30,859.25",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,336,Maintenance And Repair Services-Equipr,"2,986.86",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,429,Instructional Supplies And Materials,"36,418.30",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,449,Textbooks,"72,787.34",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,499,Other Supplies And Materials,332.06,,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,599,Other Charges,"2,100.00",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,722,Regular Instruction Equipment,"79,403.39",,fund141FY05.pdf,17
71000 Instruction,FY05,71100,Regular Instruction Program,,Department Total,,"3,013,401.12",fund141FY05.pdf,17
71000 Instruction,FY05,71150,Alternative Instruction Program,116,Teachers,"42,872.16",,fund141FY05.pdf,17
71000 Instruction,FY05,71150,Alternative Instruction Program,163,Educational Assistants,"13,396.00",,fund141FY05.pdf,17
71000 Instruction,FY05,71150,Alternative Instruction Program,201,Social Security,"3,488.64",,fund141FY05.pdf,17
71000 Instruction,FY05,71150,Alternative Instruction Program,204,State Retirement,"2,642.07",,fund141FY05.pdf,17
71000 Instruction,FY05,71150,Alternative Instruction Program,210,Unemployment Compensation,34.96,,fund141FY05.pdf,17
71000 Instruction,FY05,71150,Alternative Instruction Program,212,Employer Medicare,815.9,,fund141FY05.pdf,17
71000 Instruction,FY05,71150,Alternative Instruction Program,,Department Total,,"63,249.73",fund141FY05.pdf,17
71000 Instruction,FY05,71200,Special Education Program,116,Teachers,"210,042.68",,fund141FY05.pdf,17
71000 Instruction,FY05,71200,Special Education Program,117,Career Ladder Program,"5,000.08",,fund141FY05.pdf,17
71000 Instruction,FY05,71200,Special Education Program,128,Homebound Teachers,"26,558.86",,fund141FY05.pdf,17
71000 Instruction,FY05,71200,Special Education Program,163,Educational Assistants,"53,666.00",,fund141FY05.pdf,17
71000 Instruction,FY05,71200,Special Education Program,201,Social Security,"17,569.91",,fund141FY05.pdf,17
71000 Instruction,FY05,71200,Special Education Program,204,State Retirement,"14,429.65",,fund141FY05.pdf,17
71000 Instruction,FY05,71200,Special Education Program,207,Medical Insurance,"41,562.58",,fund141FY05.pdf,18
71000 Instruction,FY05,71200,Special Education Program,210,Unemployment Compensation,178.92,,fund141FY05.pdf,18
71000 Instruction,FY05,71200,Special Education Program,212,Employer Medicare,"4,109.05",,fund141FY05.pdf,18
71000 Instruction,FY05,71200,Special Education Program,312,Contracts With Private Agencies,"5,886.00",,fund141FY05.pdf,18
71000 Instruction,FY05,71200,Special Education Program,429,Instructional Supplies And Materials,"1,361.36",,fund141FY05.pdf,18
71000 Instruction,FY05,71200,Special Education Program,,Department Total,,"380,365.09",fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,116,Teachers,"127,504.24",,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,117,Career Ladder Program,"1,000.08",,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,201,Social Security,"7,701.15",,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,204,State Retirement,"7,067.70",,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,207,Medical Insurance,"12,941.15",,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,210,Unemployment Compensation,52.5,,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,212,Employer Medicare,"2,651.76",,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,336,Maintenance And Repair Services-Equipr,"1,801.06",,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,429,Instructional Supplies And Materials,0,,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,499,Other Supplies And Materials,100.42,,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,599,Other Charges,260,,fund141FY05.pdf,18
71000 Instruction,FY05,71300,Vocational Education Program,,Department Total,,"161,080.06",fund141FY05.pdf,18
72000 Support Services,FY05,72110,Attendance,105,Supervisor/Director,"5,316.21",,fund141FY05.pdf,19
72000 Support Services,FY05,72110,Attendance,201,Social Security,316.77,,fund141FY05.pdf,19
72000 Support Services,FY05,72110,Attendance,204,State Retirement,292.31,,fund141FY05.pdf,19
72000 Support Services,FY05,72110,Attendance,207,Medical Insurance,725.27,,fund141FY05.pdf,19
72000 Support Services,FY05,72110,Attendance,210,Unemployment Compensation,1.55,,fund141FY05.pdf,19
72000 Support Services,FY05,72110,Attendance,212,Employer Medicare,74.07,,fund141FY05.pdf,19
72000 Support Services,FY05,72110,Attendance,,Department Total,,"6,726.18",fund141FY05.pdf,19
72000 Support Services,FY05,72120,Health Services,131,Medical Personnel,"39,948.73",,fund141FY05.pdf,19
72000 Support Services,FY05,72120,Health Services,201,Social Security,"2,299.91",,fund141FY05.pdf,19
72000 Support Services,FY05,72120,Health Services,204,State Retirement,"2,197.18",,fund141FY05.pdf,19
72000 Support Services,FY05,72120,Health Services,207,Medical Insurance,"11,040.35",,fund141FY05.pdf,19
72000 Support Services,FY05,72120,Health Services,210,Unemployment Compensation,35.01,,fund141FY05.pdf,19
72000 Support Services,FY05,72120,Health Services,212,Employer Medicare,537.89,,fund141FY05.pdf,19
72000 Support Services,FY05,72120,Health Services,355,Travel,35,,fund141FY05.pdf,19
72000 Support Services,FY05,72120,Health Services,499,Other Supplies And Materials,842.64,,fund141FY05.pdf,19
72000 Support Services,FY05,72120,Health Services,599,Other Charges,750,,fund141FY05.pdf,19
72000 Support Services,FY05,72120,Health Services,,Department Total,,"57,686.71",fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,117,Career Ladder Program,"1,000.08",,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,123,Guidance Personnel,"117,422.36",,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,201,Social Security,"7,060.58",,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,204,State Retirement,"6,513.30",,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,207,Medical Insurance,"17,746.33",,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,210,Unemployment Compensation,52.49,,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,212,Employer Medicare,"1,651.26",,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,309,Contracts With Government Agencies,"28,353.41",,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,322,Evaluation And Testing,"4,864.45",,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,399,Other Contracted Services,"14,000.00",,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,599,Other Charges,"4,905.99",,fund141FY05.pdf,19
72000 Support Services,FY05,72130,Other Student Support,,Department Total,,"203,570.25",fund141FY05.pdf,19
72000 Support Services,FY05,72210,Regular Instruction Program,105,Supervisor/Director,"47,846.59",,fund141FY05.pdf,19
72000 Support Services,FY05,72210,Regular Instruction Program,117,Career Ladder Program,"3,000.24",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,129,Librarians,"88,580.00",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,138,Instructional Computer Personnel,"46,423.08",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,163,Educational Assistants,"20,772.20",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,189,Other Salaries & Wages,"45,381.78",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,201,Social Security,"12,160.08",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,204,State Retirement,"13,158.10",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,207,Medical Insurance,"31,559.28",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,210,Unemployment Compensation,110.31,,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,212,Employer Medicare,"2,843.99",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,336,Maintenance And Repair Services-Equipr,400,,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,355,Travel,"1,697.13",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,432,Library Books/Media,"7,020.04",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,499,Other Supplies And Materials,"1,451.60",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,524,In-Service/Staff Development,"2,537.05",,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,790,Other Equipment,944.3,,fund141FY05.pdf,20
72000 Support Services,FY05,72210,Regular Instruction Program,,Department Total,,"325,885.77",fund141FY05.pdf,20
72000 Support Services,FY05,72220,Special Education Program,162,Clerical Personnel,"2,000.00",,fund141FY05.pdf,20
72000 Support Services,FY05,72220,Special Education Program,201,Social Security,122.51,,fund141FY05.pdf,20
72000 Support Services,FY05,72220,Special Education Program,204,State Retirement,42.4,,fund141FY05.pdf,20
72000 Support Services,FY05,72220,Special Education Program,207,Medical Insurance,80.43,,fund141FY05.pdf,20
72000 Support Services,FY05,72220,Special Education Program,212,Employer Medicare,28.65,,fund141FY05.pdf,20
72000 Support Services,FY05,72220,Special Education Program,355,Travel,"2,288.16",,fund141FY05.pdf,20
72000 Support Services,FY05,72220,Special Education Program,,Department Total,,"4,562.15",fund141FY05.pdf,20
72000 Support Services,FY05,72230,Vocational Education Program,105,Supervisor/Director,"21,385.06",,fund141FY05.pdf,20
72000 Support Services,FY05,72230,Vocational Education Program,117,Career Ladder Program,499.92,,fund141FY05.pdf,20
72000 Support Services,FY05,72230,Vocational Education Program,201,Social Security,"1,356.87",,fund141FY05.pdf,20
72000 Support Services,FY05,72230,Vocational Education Program,207,Medical Insurance,"2,301.60",,fund141FY05.pdf,20
72000 Support Services,FY05,72230,Vocational Education Program,210,Unemployment Compensation,17.48,,fund141FY05.pdf,20
72000 Support Services,FY05,72230,Vocational Education Program,212,Employer Medicare,317.33,,fund141FY05.pdf,20
72000 Support Services,FY05,72230,Vocational Education Program,,Department Total,,"25,878.26",fund141FY05.pdf,20
72000 Support Services,FY05,72310,Board Of Education,191,Board And Committee Members Fees,"1,300.00",,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,201,Social Security,80.6,,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,212,Employer Medicare,18.86,,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,305,Audit Services,"3,000.00",,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,320,Dues And Memberships,"4,865.00",,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,355,Travel,"3,223.91",,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,506,Liability Insurance,"11,814.00",,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,508,Premiums On Corporate Surety Bonds,175,,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,510,Trustee's Commission,"45,137.37",,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,513,Workman's Compensation Insurance,"54,721.00",,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,533,Criminal Investigation Of Applicants - TE,"1,248.00",,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,534,Refund To Applicant For Criminal Investi,"1,200.00",,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,599,Other Charges,"3,939.40",,fund141FY05.pdf,21
72000 Support Services,FY05,72310,Board Of Education,,Department Total,,"130,723.14",fund141FY05.pdf,21
72000 Support Services,FY05,72320,Director Of Schools,101,Director Of Schools,"66,773.15",,fund141FY05.pdf,21
72000 Support Services,FY05,72320,Director Of Schools,201,Social Security,"4,057.15",,fund141FY05.pdf,21
72000 Support Services,FY05,72320,Director Of Schools,204,State Retirement,"3,672.49",,fund141FY05.pdf,21
72000 Support Services,FY05,72320,Director Of Schools,207,Medical Insurance,"3,701.95",,fund141FY05.pdf,21
72000 Support Services,FY05,72320,Director Of Schools,212,Employer Medicare,948.84,,fund141FY05.pdf,21
72000 Support Services,FY05,72320,Director Of Schools,307,Communication,"16,646.53",,fund141FY05.pdf,21
72000 Support Services,FY05,72320,Director Of Schools,355,Travel,"2,810.58",,fund141FY05.pdf,21
72000 Support Services,FY05,72320,Director Of Schools,435,Office Supplies,"4,113.36",,fund141FY05.pdf,21
