Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,Year-to-Date Expenditures,Department Total,PDF file,PDF page
82100 - Principal on Debt,FY05,82110,General Government,510,Trustee's Commission,0,,fund151FY05.pdf,1
82100 - Principal on Debt,FY05,82110,General Government,602,Principal On Notes,"107,185.99",,fund151FY05.pdf,1
82100 - Principal on Debt,FY05,82110,General Government,,,,"107,185.99",fund151FY05.pdf,1
82100 - Principal on Debt,FY05,82130,Education,602,Principal On Notes,"149,958.42",,fund151FY05.pdf,1
82100 - Principal on Debt,FY05,82130,Education,,,,"149,958.42",fund151FY05.pdf,1
82200 - Interest on Debt,FY05,82210,General Government,604,Interest On Notes,"9,036.21",,fund151FY05.pdf,1
82200 - Interest on Debt,FY05,82210,General Government,,,,"9,036.21",fund151FY05.pdf,1
82200 - Interest on Debt,FY05,82230,Education,604,Interest On Notes,"18,768.34",,fund151FY05.pdf,1
82200 - Interest on Debt,FY05,82230,Education,,,,"18,768.34",fund151FY05.pdf,1
82300 - Other Debt Service,FY05,82310,General Government,510,Trustee's Commission,"3,073.33",,fund151FY05.pdf,1
82300 - Other Debt Service,FY05,82310,General Government,,,,"3,073.33",fund151FY05.pdf,1
,FY05,,Fund 151 Total,,,,"288,022.29",fund151FY05.pdf,1
82100 - Principal on Debt,FY06,82110,General Debt Service,602,Principal On Notes,"66,854.21",,fund151FY06.pdf,1
82200 - Interest on Debt,FY06,82110,General Debt Service,604,Interest On Notes,0,,fund151FY06.pdf,1
82100 - Principal on Debt,FY06,82110,General Debt Service,,,,"66,854.21",fund151FY06.pdf,1
82100 - Principal on Debt,FY06,82130,Education,602,Principal On Notes,"152,753.70",,fund151FY06.pdf,1
82100 - Principal on Debt,FY06,82130,Education,,,,"152,753.70",fund151FY06.pdf,1
82200 - Interest on Debt,FY06,82210,General Government,604,Interest On Notes,"5,515.06",,fund151FY06.pdf,1
82200 - Interest on Debt,FY06,82210,General Government,,,,"5,515.06",fund151FY06.pdf,1
82200 - Interest on Debt,FY06,82230,Education,604,Interest On Notes,"15,973.06",,fund151FY06.pdf,1
82200 - Interest on Debt,FY06,82230,Education,,,,"15,973.06",fund151FY06.pdf,1
82300 - Other Debt Service,FY06,82310,General Government,510,Trustee's Commission,"3,643.40",,fund151FY06.pdf,1
82300 - Other Debt Service,FY06,82310,General Government,,,,"3,643.40",fund151FY06.pdf,1
,FY06,,Fund 151 Total,,,,"244,739.43",fund151FY06.pdf,1
82100 - Principal on Debt,FY07,82110,General Government,602,Principal On Notes,"89,356.96",,fund151FY07.pdf,1
82100 - Principal on Debt,FY07,82110,General Government,,,,"89,356.96",fund151FY07.pdf,1
82100 - Principal on Debt,FY07,82130,Education,602,Principal On Notes,"158,860.84",,fund151FY07.pdf,1
82200 - Interest on Debt,FY07,82130,Education,604,Interest On Notes,0,,fund151FY07.pdf,1
82100 - Principal on Debt,FY07,82130,Education,,,,"158,860.84",fund151FY07.pdf,1
82200 - Interest on Debt,FY07,82210,General Government,604,Interest On Notes,"17,189.87",,fund151FY07.pdf,1
82200 - Interest on Debt,FY07,82210,General Government,,,,"17,189.87",fund151FY07.pdf,1
82200 - Interest on Debt,FY07,82230,Education,604,Interest On Notes,"9,865.92",,fund151FY07.pdf,1
82200 - Interest on Debt,FY07,82230,Education,,,,"9,865.92",fund151FY07.pdf,1
82300 - Other Debt Service,FY07,82310,General Government,510,Trustee's Commission,"4,031.88",,fund151FY07.pdf,1
82300 - Other Debt Service,FY07,82310,General Government,,,,"4,031.88",fund151FY07.pdf,1
,FY07,,Fund 151 Total,,,,"279,305.47",fund151FY07.pdf,1
82100 - Principal on Debt,FY08,82110,General Government,602,Principal On Notes,"95,971.31",,fund151FY08.pdf,1
82100 - Principal on Debt,FY08,82110,General Government,,,,"95,971.31",fund151FY08.pdf,1
82100 - Principal on Debt,FY08,82130,Education,602,Principal On Notes,"160,208.66",,fund151FY08.pdf,1
82100 - Principal on Debt,FY08,82130,Education,,,,"160,208.66",fund151FY08.pdf,1
82200 - Interest on Debt,FY08,82210,General Government,604,Interest On Notes,"18,043.79",,fund151FY08.pdf,1
82200 - Interest on Debt,FY08,82210,General Government,,,,"18,043.79",fund151FY08.pdf,1
82200 - Interest on Debt,FY08,82230,Education,603,Interest On Bonds,"19,892.67",,fund151FY08.pdf,1
82200 - Interest on Debt,FY08,82230,Education,604,Interest On Notes,"5,482.98",,fund151FY08.pdf,1
82200 - Interest on Debt,FY08,82230,Education,,,,"25,375.65",fund151FY08.pdf,1
82300 - Other Debt Service,FY08,82310,General Government,510,Trustee's Commission,"7,794.32",,fund151FY08.pdf,1
82300 - Other Debt Service,FY08,82310,General Government,,,,"7,794.32",fund151FY08.pdf,1
